Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1,2098,4,3,1,1982,Rural,Fair,Yes,292038
2,2035,3,3,3,1950,Downtown,Poor,Yes,338696
3,500,1,2,1,1992,Industrial,Poor,Yes,90522
4,914,3,3,2,2011,Urban,Poor,No,284342
5,805,1,1,1,1985,Rural,Fair,Yes,102960
6,2139,4,3,2,1962,Suburban,Good,No,372138
7,1931,5,3,1,1968,Industrial,Good,No,289388
8,3204,7,4,2,1993,Countryside,Poor,No,429862
9,1393,2,2,2,2013,Urban,Good,No,408127
10,2197,5,4,1,1998,Seaside,Fair,Yes,592118
11,2300,4,2,2,2014,Suburban,Fair,Yes,479780
12,1709,3,4,2,2006,Downtown,Excellent,Yes,592934
13,2686,4,2,2,1982,Suburban,Fair,Yes,444184
14,1736,3,3,2,1994,Mountain,Good,Yes,402577
15,1646,4,4,2,1952,Industrial,Fair,Yes,208896
16,1142,2,1,1,2006,Downtown,Fair,No,313750
17,648,1,1,1,2004,Seaside,Poor,Yes,168815
18,2660,5,4,2,2007,Mountain,Good,Yes,806392
19,1318,3,3,2,1975,Urban,Poor,Yes,347735
20,853,2,1,2,1972,Rural,Poor,Yes,106416
21,1248,4,2,1,1977,Mountain,Fair,No,331080
22,1424,4,3,1,2025,Seaside,Excellent,No,499989
23,935,1,2,2,2019,Industrial,Excellent,No,220183
24,5558,7,5,3,1992,Seaside,Excellent,Yes,1802580
25,3811,7,6,1,2013,Seaside,Excellent,Yes,1374360
26,2050,4,3,2,2007,Seaside,Fair,No,332074
27,2525,5,4,2,1985,Countryside,Fair,Yes,446848
28,1793,3,4,2,2023,Countryside,Good,No,354147
29,928,1,1,1,1987,Industrial,Poor,No,111816
30,1111,2,1,1,2017,Urban,Good,Yes,428024
31,2343,5,5,3,2004,Urban,Good,Yes,657163
32,1700,3,4,1,2007,Industrial,Good,Yes,253141
33,3188,4,3,2,1964,Seaside,Fair,Yes,480477
34,2379,3,4,2,2017,Industrial,Good,Yes,333059
35,2618,7,4,2,2015,Mountain,Good,Yes,830329
36,1360,2,2,2,1971,Suburban,Poor,Yes,202172
37,2859,6,3,3,2013,Mountain,Good,Yes,795562
38,1851,3,2,1,1975,Mountain,Poor,No,244221
39,1657,3,3,2,1983,Seaside,Fair,Yes,544642
40,1801,4,3,2,2022,Suburban,Poor,Yes,380284
41,926,2,1,2,1976,Industrial,Fair,No,111672
42,1113,2,1,1,1965,Suburban,Fair,Yes,228926
43,2330,3,4,2,1978,Countryside,Fair,No,292506
44,1745,5,4,2,2006,Rural,Excellent,Yes,401152
45,2566,5,5,3,2001,Countryside,Good,Yes,478860
46,2179,4,3,2,1976,Downtown,Poor,No,255745
47,1637,5,5,2,2009,Countryside,Poor,Yes,259622
48,935,3,3,1,2021,Suburban,Fair,Yes,288621
49,2385,3,2,1,2014,Downtown,Excellent,No,680834
50,936,1,2,1,2004,Seaside,Excellent,Yes,355591
51,2492,5,5,2,1998,Mountain,Fair,Yes,531913
52,1188,3,3,1,2000,Seaside,Poor,Yes,331946
53,1993,4,3,2,1998,Urban,Poor,Yes,357088
54,2615,7,4,2,1967,Countryside,Excellent,Yes,590047
55,2084,4,3,2,2002,Countryside,Good,Yes,421215
56,2020,5,3,2,1977,Countryside,Fair,Yes,354791
57,525,2,1,2,2025,Seaside,Poor,Yes,181189
58,2836,4,2,1,2022,Rural,Excellent,Yes,419775
59,2220,5,3,1,1998,Urban,Fair,No,459005
60,2623,5,5,2,1971,Urban,Fair,Yes,550869
61,686,2,1,2,1970,Industrial,Fair,Yes,94392
62,4785,7,5,1,1991,Seaside,Excellent,Yes,1601600
63,1868,5,4,2,2019,Urban,Good,Yes,770983
64,2638,6,5,3,2008,Suburban,Fair,Yes,543598
65,1090,4,3,1,2015,Downtown,Fair,Yes,272430
66,2381,4,4,2,1972,Countryside,Excellent,Yes,582138
67,2473,3,2,1,1979,Mountain,Fair,Yes,364973
68,2136,4,4,2,2024,Countryside,Fair,Yes,333764
69,1481,2,1,1,2002,Suburban,Good,Yes,300171
70,1166,1,1,1,1982,Rural,Poor,Yes,128952
71,2310,4,2,2,1998,Seaside,Fair,Yes,497401
72,2868,4,2,1,2011,Mountain,Good,Yes,694590
73,1723,4,3,1,1998,Suburban,Good,No,329025
74,1845,3,3,2,1997,Urban,Fair,Yes,393010
75,3224,6,4,2,1992,Seaside,Good,Yes,1027606
76,1793,3,4,1,1987,Seaside,Poor,Yes,283432
77,1444,2,2,1,2004,Industrial,Good,No,169672
78,1904,5,3,2,2003,Seaside,Good,No,610285
79,3025,4,3,2,1994,Rural,Poor,Yes,408391
80,2908,6,3,2,2021,Countryside,Good,Yes,589548
81,1283,2,2,1,2016,Urban,Fair,Yes,321826
82,1756,4,3,1,2018,Downtown,Excellent,Yes,603620
83,1901,3,2,2,2006,Industrial,Good,No,253903
84,2257,5,3,2,2009,Seaside,Fair,No,559553
85,2520,5,4,2,1993,Mountain,Fair,Yes,523950
86,694,1,1,1,1961,Industrial,Poor,Yes,94968
87,1275,3,3,2,2019,Downtown,Excellent,Yes,554234
88,2382,3,3,2,2003,Suburban,Fair,No,440586
89,1638,4,2,1,2012,Suburban,Poor,Yes,255478
90,2823,5,5,3,1996,Seaside,Fair,Yes,760125
91,1908,4,2,2,2021,Downtown,Excellent,Yes,1040821
92,1438,2,1,1,2017,Rural,Good,Yes,303680
93,1833,4,3,1,1995,Downtown,Good,No,586655
94,1673,5,5,2,2003,Rural,Fair,Yes,264423
95,1124,2,2,1,2020,Urban,Good,Yes,369603
96,1396,3,4,2,2006,Seaside,Poor,No,273809
97,3344,4,3,2,2019,Industrial,Good,Yes,461691
98,2451,4,3,2,2005,Seaside,Fair,Yes,558832
99,1093,2,2,2,1998,Suburban,Good,Yes,312302
100,2533,4,2,2,2007,Urban,Good,Yes,452890
101,1066,2,1,2,2018,Rural,Excellent,No,255381
102,1634,3,2,2,2013,Countryside,Poor,Yes,202061
103,720,1,1,1,1961,Rural,Fair,Yes,96840
104,1514,4,3,2,1987,Suburban,Good,Yes,471253
105,1777,5,4,2,1958,Seaside,Good,No,564290
106,984,2,2,1,2020,Suburban,Fair,Yes,235970
107,822,2,2,2,1986,Suburban,Poor,Yes,189305
108,2346,3,3,2,2006,Urban,Fair,Yes,463977
109,1425,2,2,1,2008,Suburban,Poor,No,215979
110,2294,4,3,3,1999,Industrial,Excellent,Yes,411862
111,2164,3,3,2,1995,Suburban,Fair,Yes,326012
112,1172,3,3,1,1973,Suburban,Good,No,199971
113,1045,2,1,3,1980,Rural,Poor,Yes,120240
114,5979,5,4,2,2024,Seaside,Excellent,Yes,1821040
115,2291,3,3,2,2021,Suburban,Good,Yes,553219
116,2613,6,4,2,2006,Countryside,Poor,Yes,220171
117,2553,4,3,2,2015,Urban,Good,Yes,608826
118,2406,4,3,3,1950,Countryside,Fair,No,303466
119,2533,5,4,2,2018,Mountain,Good,Yes,615995
120,1972,4,2,2,1993,Suburban,Fair,Yes,274172
121,1779,3,3,1,2022,Countryside,Good,Yes,385775
122,2298,5,4,1,2000,Countryside,Good,Yes,476796
123,858,1,1,1,2015,Seaside,Excellent,Yes,357821
124,1857,4,3,1,2004,Suburban,Good,Yes,362789
125,1468,2,2,2,2007,Suburban,Fair,Yes,343498
126,1691,3,4,1,1995,Urban,Fair,Yes,317796
127,750,1,2,1,1973,Downtown,Poor,No,123569
128,1825,5,4,2,2005,Countryside,Fair,No,355065
129,2154,5,5,2,2017,Urban,Excellent,Yes,968926
130,1243,4,4,2,2019,Suburban,Fair,Yes,384547
131,1386,4,4,2,1952,Industrial,Poor,Yes,176709
132,1205,3,2,2,1979,Rural,Good,Yes,237962
133,1742,4,4,1,2022,Industrial,Excellent,No,334869
134,2094,4,3,1,1973,Suburban,Good,No,373820
135,2020,3,2,2,2003,Rural,Fair,Yes,266375
136,1128,1,1,2,1967,Industrial,Poor,Yes,126216
137,1946,4,3,2,1981,Downtown,Good,No,474581
138,1593,3,3,2,2013,Rural,Poor,Yes,268699
139,2370,4,4,1,2018,Countryside,Fair,Yes,379526
140,1577,4,3,2,2024,Downtown,Excellent,Yes,698804
141,1394,2,2,1,2007,Countryside,Good,Yes,361356
142,2977,5,5,2,2010,Urban,Good,Yes,783547
143,1785,3,3,2,1981,Industrial,Fair,Yes,210216
144,2510,7,3,2,2019,Seaside,Poor,Yes,502642
145,1199,3,3,2,1985,Mountain,Fair,No,262693
146,2821,6,3,3,2022,Downtown,Excellent,Yes,1274008
147,1868,5,4,2,2005,Suburban,Fair,Yes,500194
148,2839,5,4,2,2002,Countryside,Fair,Yes,532550
149,1785,4,3,1,2025,Urban,Good,Yes,747097
150,978,2,1,2,1983,Countryside,Good,No,168668
151,681,1,2,1,2018,Industrial,Good,Yes,127475
152,883,2,1,2,1985,Industrial,Fair,Yes,108576
153,2685,6,3,2,2020,Mountain,Good,Yes,866486
154,500,1,2,1,2000,Seaside,Good,Yes,241176
155,1124,1,1,1,1980,Industrial,Fair,Yes,125928
156,956,1,2,1,1995,Countryside,Fair,No,138717
157,866,2,2,1,1983,Urban,Fair,Yes,228696
158,995,2,1,3,1988,Rural,Fair,Yes,116640
159,1829,5,3,1,2002,Countryside,Poor,Yes,246968
160,2829,5,4,2,1956,Urban,Fair,No,595854
161,2398,4,3,1,1961,Countryside,Poor,No,142721
162,1360,2,2,1,1988,Mountain,Poor,No,230981
163,1781,4,4,2,1962,Industrial,Good,No,316185
164,2170,5,4,2,1996,Suburban,Excellent,Yes,676159
165,1761,5,4,2,2013,Downtown,Good,Yes,676974
166,1733,5,5,1,2018,Urban,Fair,Yes,574437
167,1033,3,3,1,1988,Urban,Fair,Yes,233000
168,1086,3,3,1,2005,Industrial,Good,Yes,221895
169,966,2,2,1,2014,Seaside,Good,Yes,267916
170,2591,5,5,1,2023,Downtown,Excellent,Yes,1002698
171,1686,3,3,1,1992,Rural,Good,Yes,323725
172,1302,3,3,2,2016,Seaside,Fair,Yes,413761
173,1863,4,2,2,1990,Downtown,Fair,Yes,389216
174,1523,4,2,1,2009,Countryside,Good,Yes,390827
175,2099,4,4,3,1996,Suburban,Fair,Yes,364376
176,2215,4,4,2,1981,Mountain,Fair,Yes,519703
177,2180,3,2,1,2009,Downtown,Fair,Yes,560738
178,2240,3,2,2,2007,Suburban,Fair,Yes,342350
179,2385,5,3,1,2012,Suburban,Excellent,Yes,804719
180,5343,6,6,2,1996,Seaside,Excellent,Yes,1740180
181,1940,5,4,2,1994,Rural,Poor,Yes,200936
182,1198,1,1,1,1977,Industrial,Fair,Yes,131256
183,1205,3,2,2,2014,Urban,Good,No,399504
184,500,1,2,1,2013,Industrial,Good,No,101928
185,3191,4,3,2,2017,Seaside,Fair,Yes,766545
186,1625,3,3,1,1989,Urban,Fair,Yes,376037
187,3093,5,5,3,2025,Countryside,Good,Yes,507149
188,2331,4,3,2,2012,Rural,Good,Yes,266306
189,1695,3,3,1,2024,Industrial,Excellent,Yes,301142
190,618,2,1,2,2017,Downtown,Good,Yes,289282
191,1576,3,2,1,2023,Downtown,Excellent,Yes,533649
192,634,2,1,3,1987,Rural,Fair,Yes,90648
193,1671,3,4,1,2011,Urban,Good,Yes,640838
194,1338,3,3,2,1988,Countryside,Fair,Yes,232035
195,2099,4,2,3,2001,Countryside,Fair,Yes,473511
196,1009,3,4,1,1980,Countryside,Poor,Yes,176283
197,5252,6,4,1,1989,Downtown,Excellent,Yes,1664520
198,1726,3,3,2,1991,Countryside,Fair,Yes,277057
199,2500,5,4,2,2002,Countryside,Excellent,Yes,519644
200,1974,5,5,1,1991,Suburban,Poor,No,282935
201,3094,6,5,3,2008,Downtown,Fair,No,640126
202,1437,2,2,2,2016,Rural,Poor,No,163454
203,1318,2,2,2,2010,Downtown,Fair,Yes,451552
204,2553,4,3,1,2004,Urban,Fair,Yes,592650
205,946,1,1,1,2014,Urban,Excellent,Yes,438986
206,4901,7,6,1,2003,Seaside,Excellent,Yes,1657760
207,1287,3,4,1,1998,Rural,Good,Yes,284898
208,1493,4,3,2,1955,Countryside,Fair,No,200042
209,1699,4,3,2,2013,Mountain,Fair,Yes,447857
210,2474,3,3,2,1977,Countryside,Good,No,329094
211,1818,5,4,2,2007,Industrial,Good,Yes,251664
212,2401,4,2,2,2016,Downtown,Good,No,636272
213,1674,5,3,2,2013,Mountain,Good,Yes,455427
214,2211,4,4,3,2017,Seaside,Fair,No,345651
215,930,1,2,2,2025,Downtown,Good,Yes,304284
216,1393,2,2,1,1984,Suburban,Fair,Yes,303426
217,932,1,1,2,1969,Rural,Poor,Yes,112104
218,2763,4,3,2,1981,Industrial,Fair,Yes,395584
219,2368,4,3,1,1995,Mountain,Poor,Yes,451656
220,2263,3,2,2,2003,Mountain,Poor,Yes,436395
221,1576,4,3,1,1997,Suburban,Fair,No,359723
222,2812,6,5,2,1970,Rural,Fair,No,441909
223,1578,5,4,2,1980,Downtown,Poor,No,366123
224,1859,3,2,1,1980,Urban,Good,No,430528
225,899,1,1,2,1974,Rural,Fair,Yes,109728
226,1511,3,4,1,2008,Rural,Poor,Yes,234371
227,742,3,2,1,2023,Mountain,Excellent,Yes,314436
228,2092,4,3,3,1981,Mountain,Poor,Yes,414236
229,2079,4,3,1,1981,Downtown,Fair,Yes,514908
230,2081,5,3,2,2005,Mountain,Good,Yes,747344
231,1750,4,2,2,2017,Suburban,Poor,No,245156
232,2779,4,3,1,1997,Rural,Poor,Yes,293977
233,1412,2,2,2,2004,Industrial,Poor,Yes,140174
234,1501,5,4,2,2006,Suburban,Poor,Yes,288970
235,1850,4,2,2,2016,Suburban,Poor,Yes,375758
236,1483,2,2,2,1991,Industrial,Good,Yes,208642
237,1840,3,3,2,1994,Rural,Fair,No,270744
238,1816,4,2,1,2013,Industrial,Fair,Yes,199094
239,1358,4,4,2,2024,Mountain,Good,Yes,492294
240,1246,4,4,2,1979,Countryside,Fair,Yes,306997
241,2147,3,3,1,2018,Downtown,Excellent,Yes,812673
242,1966,3,3,2,2019,Seaside,Fair,Yes,568420
243,1460,3,3,2,2010,Industrial,Good,Yes,241881
244,2057,3,2,2,1977,Rural,Fair,Yes,292245
245,1969,3,4,1,2009,Downtown,Good,Yes,594972
246,1443,3,3,2,2020,Urban,Good,Yes,473542
247,1072,4,3,1,1977,Industrial,Fair,Yes,195732
248,1228,3,4,2,1957,Industrial,Good,No,175020
249,2225,3,4,2,2016,Downtown,Excellent,Yes,774325
250,3025,5,4,3,1987,Countryside,Fair,Yes,541812
251,668,2,1,1,2013,Downtown,Poor,No,169085
252,1585,3,4,2,2005,Seaside,Good,Yes,596307
253,1842,3,4,2,1978,Countryside,Fair,Yes,364096
254,1489,4,3,1,1996,Downtown,Fair,No,393927
255,2533,6,3,2,1976,Seaside,Good,No,795494
256,1262,3,4,1,2000,Seaside,Fair,Yes,332025
257,1432,2,1,2,1995,Urban,Fair,Yes,335939
258,1027,3,3,2,1969,Industrial,Poor,Yes,80303
259,2450,4,3,2,2021,Urban,Excellent,Yes,758337
260,1879,5,4,1,2011,Seaside,Excellent,Yes,905736
261,1374,3,3,2,2012,Downtown,Good,Yes,387617
262,2212,3,3,3,1966,Downtown,Fair,Yes,557478
263,1300,3,2,2,2014,Urban,Good,Yes,292082
264,1484,3,3,2,2007,Seaside,Good,No,530702
265,2371,4,2,3,1972,Industrial,Excellent,No,359337
266,1990,4,2,1,2020,Seaside,Good,Yes,771735
267,2313,5,4,2,2010,Mountain,Good,No,665119
268,954,1,2,1,2014,Mountain,Good,Yes,313969
269,2582,6,4,2,1983,Countryside,Fair,Yes,323736
270,1936,3,2,1,2015,Rural,Good,Yes,226910
271,822,1,2,1,2011,Countryside,Excellent,Yes,287589
272,1816,3,2,1,2021,Rural,Fair,Yes,292298
273,910,1,1,1,1974,Rural,Fair,Yes,110520
274,1808,3,3,1,1962,Industrial,Fair,Yes,220980
275,1909,4,3,2,2001,Suburban,Good,Yes,397552
276,1818,4,3,2,2005,Urban,Good,Yes,448437
277,3044,5,4,4,2019,Industrial,Good,Yes,399374
278,2831,4,4,2,2020,Mountain,Excellent,No,716166
279,1959,5,3,2,1979,Urban,Fair,Yes,619517
280,1811,3,3,2,1993,Downtown,Fair,Yes,524018
281,1442,3,3,2,2018,Seaside,Good,Yes,607537
282,2710,6,4,3,1971,Countryside,Fair,No,483607
283,1718,4,3,2,1957,Industrial,Good,Yes,299860
284,1847,4,3,2,1995,Rural,Poor,No,240517
285,2371,3,2,2,2017,Urban,Poor,Yes,476873
286,1908,4,2,1,2012,Seaside,Good,Yes,587827
287,1685,3,4,2,1972,Countryside,Poor,No,190103
288,1370,4,3,2,1981,Suburban,Fair,Yes,340195
289,1338,4,4,2,2020,Countryside,Good,No,263291
290,913,1,1,1,2014,Mountain,Excellent,Yes,336712
291,3112,6,3,3,1989,Downtown,Poor,Yes,504092
292,2114,3,4,2,2000,Mountain,Fair,Yes,349190
293,1485,3,3,1,2004,Suburban,Good,Yes,401629
294,1913,4,3,2,1974,Downtown,Poor,Yes,461562
295,2237,3,3,3,2001,Urban,Fair,No,424215
296,1350,2,2,2,2017,Mountain,Poor,Yes,290031
297,2379,5,4,3,2012,Seaside,Fair,Yes,754122
298,938,2,1,2,1983,Industrial,Poor,Yes,112536
299,2541,6,3,2,2002,Industrial,Good,Yes,374376
300,2203,3,3,3,1970,Downtown,Good,Yes,605128
301,1602,3,2,1,2004,Downtown,Poor,Yes,383979
302,1975,5,4,2,1962,Rural,Fair,Yes,293253
303,1753,4,4,2,2011,Downtown,Good,Yes,618277
304,1534,5,4,1,1998,Urban,Poor,Yes,351268
305,1004,2,1,1,1966,Rural,Poor,No,117288
306,2111,5,4,2,1986,Rural,Fair,Yes,425324
307,1354,3,3,2,1970,Suburban,Excellent,Yes,368185
308,3075,6,4,3,1986,Suburban,Poor,Yes,527897
309,2568,5,3,3,2009,Mountain,Fair,Yes,623309
310,2545,5,3,2,2011,Suburban,Poor,Yes,368654
311,1146,4,3,1,2004,Countryside,Excellent,Yes,345356
312,1015,3,3,2,2003,Countryside,Poor,No,169286
313,1542,5,3,2,2025,Industrial,Excellent,Yes,391118
314,1669,5,3,1,1955,Seaside,Poor,No,237266
315,1816,5,4,1,2003,Industrial,Fair,Yes,290738
316,2691,7,4,3,2008,Countryside,Poor,Yes,382713
317,1049,3,4,2,1975,Countryside,Poor,Yes,201405
318,3897,5,4,2,1963,Rural,Excellent,Yes,531678
319,2515,4,3,2,2010,Suburban,Excellent,No,555421
320,2092,3,4,1,2011,Urban,Excellent,Yes,790031
321,2985,5,4,2,1996,Mountain,Excellent,No,588534
322,2652,6,5,2,1986,Industrial,Poor,Yes,265910
323,1580,3,2,2,2004,Rural,Poor,No,189817
324,1408,4,3,2,1968,Downtown,Fair,Yes,477767
325,5359,7,6,2,1970,Downtown,Excellent,Yes,1776840
326,1783,5,3,1,1994,Rural,Fair,No,242082
327,1648,3,3,2,2016,Seaside,Fair,Yes,536639
328,2223,4,2,2,2000,Suburban,Good,Yes,456577
329,2051,5,3,2,2008,Downtown,Good,Yes,817428
330,2674,6,3,3,2001,Suburban,Good,Yes,677549
331,5612,6,5,3,1991,Downtown,Excellent,Yes,1784120
332,2185,3,2,2,2010,Countryside,Excellent,Yes,408830
333,1144,3,3,1,1960,Downtown,Poor,No,216263
334,2445,3,3,2,2012,Urban,Excellent,Yes,832354
335,654,1,1,3,1961,Rural,Fair,No,92088
336,2148,4,3,3,2004,Industrial,Fair,Yes,331726
337,2527,7,3,2,1970,Urban,Poor,Yes,517915
338,1580,5,4,2,2008,Industrial,Good,Yes,243909
339,2888,5,3,2,2022,Countryside,Excellent,Yes,594644
340,1958,4,3,2,1995,Mountain,Fair,No,369503
341,1036,2,1,1,1980,Rural,Poor,Yes,119592
342,1857,3,3,2,2013,Suburban,Fair,Yes,311878
343,1852,3,2,2,1993,Seaside,Fair,Yes,477612
344,1868,4,3,1,2006,Urban,Good,Yes,484318
345,1126,3,4,2,1976,Suburban,Fair,Yes,245651
346,2158,3,2,2,1999,Mountain,Fair,Yes,537087
347,1734,5,3,2,2024,Urban,Good,Yes,633434
348,1151,1,1,3,1963,Industrial,Poor,Yes,127872
349,2849,6,3,2,1975,Urban,Good,Yes,909398
350,1216,2,2,2,1998,Mountain,Good,No,219239
351,959,2,2,2,2004,Rural,Good,Yes,216531
352,2158,3,4,3,2018,Suburban,Good,Yes,496567
353,996,2,2,1,2009,Countryside,Good,Yes,261329
354,2699,5,3,2,2000,Rural,Fair,No,333819
355,1951,4,3,1,1982,Industrial,Fair,No,204203
356,2285,4,4,1,2021,Rural,Good,Yes,444949
357,989,3,3,1,2020,Industrial,Good,Yes,170156
358,953,1,2,2,1973,Countryside,Fair,Yes,145842
359,2050,5,5,2,2001,Seaside,Fair,Yes,651132
360,2756,5,4,2,2013,Countryside,Good,Yes,486737
361,1052,2,1,1,2019,Seaside,Fair,Yes,307930
362,1216,2,2,1,1989,Mountain,Poor,Yes,238246
363,1867,4,3,2,2005,Suburban,Fair,Yes,435916
364,1429,3,3,1,2022,Industrial,Excellent,Yes,258328
365,1262,3,3,1,2019,Mountain,Good,No,333050
366,2122,5,4,2,2019,Rural,Good,Yes,495582
367,2546,6,5,2,1995,Urban,Fair,Yes,657702
368,1582,4,2,2,2009,Suburban,Excellent,Yes,604895
369,2309,5,3,2,1973,Suburban,Fair,No,261884
370,1759,3,3,2,2012,Downtown,Good,Yes,526509
371,2573,4,3,2,2003,Downtown,Good,Yes,853962
372,803,2,2,1,2011,Downtown,Fair,Yes,360878
373,2642,4,2,3,2013,Urban,Fair,Yes,667412
374,2681,6,4,2,1993,Countryside,Good,Yes,499626
375,1421,2,1,2,2020,Downtown,Good,Yes,388812
376,1175,3,3,2,2001,Seaside,Good,Yes,448446
377,1903,3,3,1,2011,Countryside,Good,No,356892
378,1706,5,4,2,2013,Urban,Good,Yes,704840
379,1600,4,2,2,1994,Industrial,Poor,Yes,197971
380,1536,4,2,2,2016,Countryside,Poor,Yes,304065
381,2254,5,5,2,1966,Countryside,Fair,No,362745
382,1685,3,3,1,1956,Industrial,Fair,No,175145
383,2442,4,4,2,2007,Countryside,Good,Yes,623922
384,1296,3,3,2,1998,Suburban,Fair,Yes,331987
385,2175,4,2,2,2010,Mountain,Good,Yes,639366
386,1921,3,3,2,1972,Seaside,Poor,No,358053
387,1076,3,3,1,2017,Seaside,Poor,Yes,311835
388,604,2,2,1,2023,Countryside,Fair,Yes,117498
389,2031,4,3,2,1970,Industrial,Poor,Yes,203039
390,1923,3,3,2,2004,Rural,Good,Yes,379088
391,1262,4,4,1,2019,Mountain,Good,Yes,511763
392,1587,4,3,2,2019,Countryside,Poor,Yes,225534
393,1693,3,2,1,1981,Rural,Excellent,Yes,258468
394,1553,4,3,1,2017,Downtown,Good,Yes,513567
395,1572,3,4,1,1974,Suburban,Good,No,356645
396,1158,3,3,1,1994,Downtown,Fair,Yes,379815
397,1751,3,4,1,2000,Urban,Fair,Yes,390431
398,1930,4,2,1,1979,Countryside,Excellent,No,375720
399,1089,3,3,1,2003,Rural,Good,Yes,223052
400,1617,4,3,2,2020,Countryside,Excellent,Yes,465986
401,2942,5,4,2,2006,Urban,Good,Yes,998319
402,1939,4,3,2,2008,Seaside,Excellent,Yes,704566
403,1589,4,3,1,2006,Mountain,Good,Yes,398487
